case_id,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,budget_index,budget_fraction,row_budget,method,method_label,selected_rows,row_match,importance_retention,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,selector_median_ms,selector_p95_ms,read_wall_median_ms,read_wall_p95_ms,actual_total_ms,direct_rate,deterministic,fallback_used,error
qwen05-000030,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k1,Wave K=1,448,True,0.5160442848774144,0.012556471861898899,0.01493455097079277,7.867813110351562e-05,0.9994302988052368,1,0.117931,0.12747909999999998,0.207749,0.2357822,0.32567999999999997,1.0,True,False,
qwen05-000031,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k6,Wave K=6,448,True,0.6040591072049455,0.009718258865177631,0.011147180572152138,4.7206878662109375e-05,0.9997711181640625,6,0.128761,0.1456855,0.340287,0.340719,0.469048,1.0,True,False,
qwen05-000032,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k12,Wave K=12,448,True,0.626296906983748,0.008899085223674774,0.010108072310686111,3.9517879486083984e-05,0.9996575117111206,12,0.197609,0.21218089999999998,0.346037,0.384395,0.543646,1.0,True,False,
qwen05-000033,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k18,Wave K=18,448,True,0.6440827521549951,0.008860514499247074,0.010026534087955952,3.921985626220703e-05,0.9998188614845276,18,0.239378,0.2666354,0.471021,0.5043471,0.710399,1.0,True,False,
qwen05-000034,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k24,Wave K=24,448,True,0.6586465707569816,0.008361635729670525,0.009176619350910187,3.49879264831543e-05,0.99983149766922,24,0.426638,0.4818935,0.460912,0.4796581,0.8875500000000001,1.0,True,False,
qwen05-000035,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,paper,Paper,672,True,0.7527622038115993,0.007620365358889103,0.008765045553445816,2.9146671295166016e-05,0.9996092319488525,1,0.211075,0.2234194,0.277529,0.28735700000000003,0.48860400000000004,1.0,True,False,
qwen05-000036,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,tile8_ceil,Cell-8,672,True,0.7400955535171648,0.00802259985357523,0.009605105035007,3.212690353393555e-05,0.9996289014816284,1,0.082044,0.0833787,0.275054,0.356711,0.357098,1.0,True,False,
qwen05-000037,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,wave_k1,Wave K=1,672,True,0.7615265182049886,0.006974514108151197,0.008074667304754257,2.4139881134033203e-05,0.9996747374534607,1,0.113763,0.1275591,0.255338,0.26262349999999995,0.369101,1.0,True,False,
qwen05-000038,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,wave_k6,Wave K=6,672,True,0.8153215082732193,0.005105513613671064,0.005771247670054436,1.2993812561035156e-05,0.9998283982276917,6,0.120195,0.1359918,0.364862,0.3725084,0.485057,1.0,True,False,
qwen05-000039,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,wave_k12,Wave K=12,672,True,0.8317322295576525,0.004510223399847746,0.005209980066865683,1.0132789611816406e-05,0.9998902678489685,12,0.127118,0.1496324,0.326892,0.3431397,0.45401,1.0,True,False,
qwen05-000040,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,wave_k18,Wave K=18,672,True,0.8456107122653439,0.0033888928592205048,0.00400556018576026,5.602836608886719e-06,0.9997904300689697,18,0.296554,0.3147592,0.551813,0.5680787,0.848367,1.0,True,False,
qwen05-000041,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.k_proj,0,k,896x128,896,128,0.25,table2,2,0.75,672,wave_k24,Wave K=24,672,True,0.8465755250352255,0.0029217018745839596,0.0035536219365894794,4.231929779052734e-06,0.9999184012413025,24,0.14981,0.15711440000000002,0.560158,0.6067924,0.709968,1.0,True,False,
qwen05-000042,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,paper,Paper,224,True,0.26863673449222886,0.9547532200813293,1.0781060457229614,0.5728812217712402,0.7336872816085815,1,0.211605,0.2121198,0.198441,0.2228409,0.410046,1.0,True,False,
qwen05-000043,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,tile8_ceil,Cell-8,224,True,0.27229951878562847,0.9463975429534912,1.0747336149215698,0.5620085000991821,0.7338038682937622,1,0.06911,0.074492,0.177011,0.1950353,0.246121,1.0,True,False,
qwen05-000044,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,wave_k1,Wave K=1,224,True,0.2726157613755777,0.9458573460578918,1.074574589729309,0.5612262487411499,0.7340167760848999,1,0.114735,0.11491499999999999,0.174356,0.1767095,0.289091,1.0,True,False,
qwen05-000045,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.35509475860220774,0.9379085302352905,1.0697517395019531,0.5241081714630127,0.8016915321350098,6,0.138419,0.1406006,0.290364,0.29221169999999996,0.428783,1.0,True,False,
qwen05-000046,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.3941879150235193,0.8714572787284851,0.9848470687866211,0.4533287286758423,0.7880984544754028,12,0.17603,0.25664030000000004,0.318416,0.3636257,0.49444599999999994,1.0,True,False,
qwen05-000047,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.42625767107295137,0.7887416481971741,0.9161218404769897,0.3701474666595459,0.7670655846595764,18,0.228127,0.25768389999999997,0.392924,0.4147634,0.621051,1.0,True,False,
qwen05-000048,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.4284173695596257,0.7821892499923706,0.8981443047523499,0.3630121946334839,0.7695526480674744,24,0.506828,0.5485582999999999,0.391953,0.44564879999999996,0.8987809999999999,1.0,True,False,
qwen05-000049,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,paper,Paper,448,True,0.5132151918804069,0.7556512951850891,0.872164249420166,0.326850950717926,0.8285136818885803,1,0.179927,0.2161835,0.220453,0.22366239999999998,0.40038,1.0,True,False,
qwen05-000050,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,tile8_ceil,Cell-8,448,True,0.512227687771192,0.7649520635604858,0.894892692565918,0.33474963903427124,0.8317127227783203,1,0.070021,0.0762607,0.220342,0.2333632,0.29036300000000004,1.0,True,False,
qwen05-000051,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,wave_k1,Wave K=1,448,True,0.5160442848774144,0.8350024223327637,0.9492863416671753,0.3941569924354553,0.8593676090240479,1,0.15003,0.16774920000000001,0.188132,0.1952465,0.33816199999999996,1.0,True,False,
qwen05-000052,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,wave_k6,Wave K=6,448,True,0.6040591072049455,0.633405327796936,0.7631053924560547,0.22277504205703735,0.8498950600624084,6,0.136325,0.1436375,0.313757,0.357065,0.450082,1.0,True,False,
qwen05-000053,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,wave_k12,Wave K=12,448,True,0.626296906983748,0.5944073796272278,0.7014959454536438,0.1954745650291443,0.8286364674568176,12,0.196207,0.2726611,0.314879,0.3807644,0.511086,1.0,True,False,
qwen05-000054,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,wave_k18,Wave K=18,448,True,0.6440827521549951,0.5760940909385681,0.6623778343200684,0.18261170387268066,0.8145662546157837,18,0.303387,0.3046407,0.41162,0.4280306,0.715007,1.0,True,False,
qwen05-000055,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,1,0.5,448,wave_k24,Wave K=24,448,True,0.6586465707569816,0.557336688041687,0.6631064414978027,0.16953611373901367,0.8476216197013855,24,0.297847,0.3198574,0.541342,0.5680864,0.839189,1.0,True,False,
qwen05-000056,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,paper,Paper,672,True,0.7527622038115993,0.6127957105636597,0.7121371626853943,0.19780975580215454,0.9401313662528992,1,0.213239,0.2171882,0.222587,0.2263733,0.43582600000000005,1.0,True,False,
qwen05-000057,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,tile8_ceil,Cell-8,672,True,0.7400955535171648,0.6596616506576538,0.7691240906715393,0.22764545679092407,0.9503570199012756,1,0.068869,0.0773533,0.237545,0.26289080000000004,0.306414,1.0,True,False,
qwen05-000058,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,wave_k1,Wave K=1,672,True,0.7615265182049886,0.6102752685546875,0.7099841237068176,0.1951945424079895,0.9467476606369019,1,0.159218,0.178433,0.253604,0.2544977,0.412822,1.0,True,False,
qwen05-000059,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,wave_k6,Wave K=6,672,True,0.8153215082732193,0.4544565677642822,0.5355420708656311,0.10818243026733398,0.935052752494812,6,0.196477,0.1974067,0.361226,0.4025405,0.5577030000000001,1.0,True,False,
qwen05-000060,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,wave_k12,Wave K=12,672,True,0.8317322295576525,0.3629417419433594,0.4276827573776245,0.06779807806015015,0.9052392244338989,12,0.1334,0.16323680000000002,0.366696,0.3836205,0.500096,1.0,True,False,
qwen05-000061,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,wave_k18,Wave K=18,672,True,0.8456107122653439,0.31183427572250366,0.3786209523677826,0.04919689893722534,0.9152061939239502,18,0.294812,0.3158666,0.450853,0.4633954,0.745665,1.0,True,False,
qwen05-000062,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.v_proj,0,v,896x128,896,128,0.25,table2,2,0.75,672,wave_k24,Wave K=24,672,True,0.8465755250352255,0.2976759970188141,0.36213603615760803,0.044847190380096436,0.9246903657913208,24,0.145131,0.1525434,0.564907,0.5835081999999999,0.7100380000000001,1.0,True,False,
qwen05-000063,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,paper,Paper,224,True,0.3592894258973027,0.3985746204853058,0.5613681077957153,0.07838630676269531,0.8308751583099365,3,0.249497,0.2819753,0.360795,0.44166720000000004,0.610292,1.0,True,False,
qwen05-000064,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,tile8_ceil,Cell-8,224,True,0.313983156487652,0.4792500138282776,0.5110397934913635,0.11162698268890381,0.750942051410675,1,0.08025,0.1006098,0.45455,0.49768700000000005,0.5348,1.0,True,False,
qwen05-000065,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,wave_k1,Wave K=1,224,True,0.3206504305335169,0.4434237480163574,0.5059847235679626,0.09173136949539185,0.7613787651062012,1,0.124954,0.125359,0.507339,0.521424,0.632293,1.0,True,False,
qwen05-000066,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.3665379599745794,0.4203028380870819,0.5344628691673279,0.07665473222732544,0.7524044513702393,6,0.142236,0.1704942,0.53488,0.5618943999999999,0.677116,1.0,True,False,
qwen05-000067,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.40568506929473874,0.34461158514022827,0.5113691091537476,0.059873759746551514,0.8891880512237549,12,0.174456,0.183996,0.483935,0.5501632999999999,0.658391,1.0,True,False,
qwen05-000068,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.4109767132118283,0.3119526505470276,0.46960675716400146,0.049288153648376465,0.9165460467338562,18,0.284132,0.2984051,0.659273,0.8006666,0.943405,1.0,True,False,
qwen05-000069,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.o_proj,0,o,896x896,896,896,1.75,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.4236348927623634,0.3253557085990906,0.48591795563697815,0.05298882722854614,0.895180344581604,24,0.422179,0.48736240000000003,0.641599,0.6652870000000001,1.0637780000000001,1.0,True,False,
